Prompt
"Nitrogen level is 90, Phosphorus level is 42, Potassium level is 43, Temperature is 20.87974371°C, Humidity is 82.00274423%, pH value is 6.502985292, and Rainfall is 202.9355362 mm. The crop is Rice."
"Nitrogen level is 85, Phosphorus level is 58, Potassium level is 41, Temperature is 21.77046169°C, Humidity is 80.31964408%, pH value is 7.038096361, and Rainfall is 226.6555374 mm. The crop is Rice."
"Nitrogen level is 60, Phosphorus level is 55, Potassium level is 44, Temperature is 23.00445915°C, Humidity is 82.3207629%, pH value is 7.840207144, and Rainfall is 263.9642476 mm. The crop is Rice."
"Nitrogen level is 74, Phosphorus level is 35, Potassium level is 40, Temperature is 26.49109635°C, Humidity is 80.15836264%, pH value is 6.980400905, and Rainfall is 242.8640342 mm. The crop is Rice."
"Nitrogen level is 78, Phosphorus level is 42, Potassium level is 42, Temperature is 20.13017482°C, Humidity is 81.60487287%, pH value is 7.628472891, and Rainfall is 262.7173405 mm. The crop is Rice."
"Nitrogen level is 69, Phosphorus level is 37, Potassium level is 42, Temperature is 23.05804872°C, Humidity is 83.37011772%, pH value is 7.073453503, and Rainfall is 251.0549998 mm. The crop is Rice."
"Nitrogen level is 69, Phosphorus level is 55, Potassium level is 38, Temperature is 22.70883798°C, Humidity is 82.63941394%, pH value is 5.70080568, and Rainfall is 271.3248604 mm. The crop is Rice."
"Nitrogen level is 94, Phosphorus level is 53, Potassium level is 40, Temperature is 20.27774362°C, Humidity is 82.89408619%, pH value is 5.718627178, and Rainfall is 241.9741949 mm. The crop is Rice."
"Nitrogen level is 89, Phosphorus level is 54, Potassium level is 38, Temperature is 24.51588066°C, Humidity is 83.5352163%, pH value is 6.685346424, and Rainfall is 230.4462359 mm. The crop is Rice."
"Nitrogen level is 68, Phosphorus level is 58, Potassium level is 38, Temperature is 23.22397386°C, Humidity is 83.03322691%, pH value is 6.336253525, and Rainfall is 221.2091958 mm. The crop is Rice."
"Nitrogen level is 91, Phosphorus level is 53, Potassium level is 40, Temperature is 26.52723513°C, Humidity is 81.41753846%, pH value is 5.386167788, and Rainfall is 264.6148697 mm. The crop is Rice."
"Nitrogen level is 90, Phosphorus level is 46, Potassium level is 42, Temperature is 23.97898217°C, Humidity is 81.45061596%, pH value is 7.50283396, and Rainfall is 250.0832336 mm. The crop is Rice."
"Nitrogen level is 78, Phosphorus level is 58, Potassium level is 44, Temperature is 26.80079604°C, Humidity is 80.88684822%, pH value is 5.108681786, and Rainfall is 284.4364567 mm. The crop is Rice."
